Height,Shoesize,Armspan,Cubit,Attract,CDs,Miles,Work,Change,Sex,Live,Class,Birth,Grade,Tongue
65,9,64,,7,78,60,0,0,f,campus housing,Freshman,Kent County,A,yes
69,9.5,69,,7,30,0,10,0,m,campus housing,Freshman,Kent County,A,yes
67.25,10,69,,6.5,25,0,15,0.35,f,campus housing,Freshman,Kent County,A,yes
69,10,64,16,7,30,0,0,0.52,f,campus housing,Freshman,Kent County,A,yes
72.75,12,53,,7,28,46,20,0,m,family home,Freshman,Kent County,A,yes
76,12.5,99,,7,25,35,0,0,m,family home,Freshman,Kent County,A,yes
69.5,11.5,67.5,,10,100,17.5,7.25,0,f,campus housing,Sophomore,Kent County,A,yes
72,13,71,18,7,10,0,30,5,m,campus housing,Sophomore,Kent County,A,yes
68,9.4,65.5,18,8,20,25,15,0,f,apartment,Sophomore,Kent County,A,yes
61.75,9.5,58.5,,7,70,1,13,0,f,apartment,Sophomore,Kent County,A,yes
71,10,70,20,9,15,30,25,0,f,apartment,Sophomore,Kent County,A,yes
64.5,11,63.75,,7,25,1,27,0.75,f,apartment,Sophomore,Kent County,A,yes
69.5,12,66,,7,,2,0,0,m,apartment,Sophomore,Kent County,A,yes
71.75,12,72,,7,40,1,18,0.86,m,apartment,Sophomore,Kent County,A,yes
63.75,9.5,61,,6,2,11.4,36,0,f,family home,Sophomore,Kent County,A,yes
68,9.75,70,,8,45,10,0,0.48,f,family home,Sophomore,Kent County,A,yes
69,10.75,65.3,,10,20,15,10,0,f,family home,Sophomore,Kent County,A,yes
67,12.25,67.5,,5,40,8,0,1.44,f,family home,Sophomore,Kent County,A,yes
72.75,12.5,73.5,,7,20,25,50,0,m,family home,Sophomore,Kent County,A,yes
72.5,12.75,70,,8,12,17,12,0.05,m,family home,Sophomore,Kent County,A,yes
75,12.75,75,,7,25,22,16,0.25,m,family home,Sophomore,Kent County,A,yes
69.5,10.5,66,,7,0,11,15,0,f,campus housing,Junior,Kent County,A,yes
71,11.5,69,,7,200,0.25,17.5,0,m,apartment,Junior,Kent County,A,yes
67,12,69.25,,8,200,0.5,20,0,m,apartment,Junior,Kent County,A,yes
71,13,70,,10,3,1.5,40,0.15,m,apartment,Junior,Kent County,A,yes
64,8,62,,7,107,7,25,22.95,f,family home,Junior,Kent County,A,yes
68,11,63,18,8,40,25,20,1.23,f,family home,Junior,Kent County,A,yes
68,12,67,18.5,7,50,4,10,0.47,f,family home,Junior,Kent County,A,yes
69.5,12,67.5,,7,200,5.5,34,0.25,m,family home,Junior,Kent County,A,yes
72,12,68.5,,7,60,22,20,0,m,family home,Junior,Kent County,A,yes
73.75,12.75,77,,3,50,8,24,0,m,family home,Junior,Kent County,A,yes
71,11.75,69.5,,8,20,10,0,0,m,other,Junior,Kent County,A,yes
